name,OverallRating,age,hits,PotentialGrowth,Potential-Overall
Kai Havertz,84,21,176,93,9
Marcus Rashford,84,22,104,89,5
Lautaro Martínez,84,22,138,91,7
Wilfred Ndidi,84,23,36,88,4
Lucas Hernández,84,24,47,89,5
Kingsley Coman,84,24,65,88,4
Alex Telles,84,27,42,85,1
Julian Brandt,84,24,51,88,4
Ricardo Pereira,84,26,28,86,2
Thomas Partey,84,27,42,87,3
Leon Goretzka,84,25,58,88,4
Felipe,84,31,19,84,0
Mateo Kovacic,84,26,43,87,3
Jorginho,84,28,29,84,0
Memphis Depay,84,26,75,87,3
Josip Ilicic,84,32,41,84,0
Allan,84,29,13,84,0
Francesco Acerbi,84,32,15,84,0
Anthony Lopes,84,29,5,86,2
Wissam Ben Yedder,84,29,31,84,0
James Rodríguez,84,29,41,84,0
Neto,84,31,7,85,1
Idrissa Gueye,84,30,30,84,0
Alexandre Lacazette,84,29,43,84,0
Kostas Manolas,84,29,11,85,1
Alex Sandro,84,29,18,84,0
Douglas Costa,84,29,24,84,0
Oscar,84,28,25,84,0
José Callejón,84,33,13,84,0
Azpilicueta,84,30,25,84,0
Arturo Vidal,84,33,53,84,0
Edin Dzeko,84,34,13,84,0
Éver Banega,84,32,9,84,0
Radja Nainggolan,84,32,19,84,0
Marcelo,84,32,22,84,0
Lucas Leiva,84,33,10,84,0
Blaise Matuidi,84,33,20,84,0
Salvatore Sirigu,84,33,6,84,0
João Moutinho,84,33,12,84,0
Ousmane Dembélé,83,23,82,90,7
Ronaldo Cabrais,83,28,22,83,0
Josué Chiamulera,83,28,12,83,0
Louri Beretta,83,28,15,83,0
Oyarzabal,83,23,22,89,6
Fabián,83,24,32,89,6
Donny van de Beek,83,23,72,87,4
Pau López,83,25,12,88,5
Dakonam Djené,83,28,6,84,1
Rafa,83,27,10,84,1
Andrej Kramaric,83,29,10,83,0
Marcelo Brozovic,83,27,18,85,2
Duván Zapata,83,29,45,83,0
Anderson Talisca,83,26,21,86,3
Thomas Strakosha,83,25,16,88,5
Anthony Martial,83,24,72,87,4
Nicolás Tagliafico,83,27,28,84,1
Dele Alli,83,24,52,88,5
Alessio Romagnoli,83,25,49,89,6
Grimaldo,83,24,34,87,4
Raphaël Guerreiro,83,26,27,84,1
Filip Kostic,83,27,16,83,0
Yannick Carrasco,83,26,25,84,1
Kepa,83,25,60,87,4
Edin Višca,83,30,8,83,0
Arkadiusz Milik,83,26,25,86,3
Portu,83,28,6,83,0
Marcel Sabitzer,83,26,20,85,2
Raúl Jiménez,83,29,63,83,0
Stefan Savic,83,29,12,84,1
Thorgan Hazard,83,27,28,83,0
Harry Maguire,83,27,48,86,3
Gabriel Paulista,83,29,14,84,1
Lucas Digne,83,27,18,86,3
Dušan Tadic,83,31,12,83,0
Charles Aránguiz,83,31,15,83,0
Pablo Sarabia,83,28,33,84,1
Wilfried Zaha,83,27,54,83,0
Rodrigo,83,29,17,83,0
Bartra,83,29,18,84,1
David Alaba,83,28,46,84,1
Joel Matip,83,28,14,84,1
Juan Cuadrado,83,32,21,83,0
Koen Casteels,83,28,3,85,2
Daley Blind,83,30,20,83,0
Muniain,83,27,9,83,0
Kevin Trapp,83,30,11,83,0
Kyle Walker,83,30,29,83,0
Aaron Ramsey,83,29,14,83,0
Marko Arnautovic,83,31,9,83,0
Max Kruse,83,32,5,83,0
Ivan Perišic,83,31,13,83,0
Sami Khedira,83,33,19,83,0
Rui Patrício,83,32,19,83,0
Mesut Özil,83,31,44,83,0
Marek Hamšík,83,33,12,83,0
Ezequiel Garay,83,33,5,83,0
Carlos Vela,83,31,20,83,0
Steve Mandanda,83,35,4,83,0
Kasper Schmeichel,83,33,41,83,0
Raúl Albiol,83,34,7,83,0
Santi Cazorla,83,35,22,83,0
Gianluigi Buffon,83,42,50,83,0
José María Sildero,82,28,17,82,0
Egidio Maestre Schetino,82,28,12,82,0
Rúben Dias,82,23,35,88,6
Federico Valverde,82,22,87,90,8
Jirí Pavlenka,82,28,3,83,1
Achraf Hakimi,82,21,91,87,5
Luka Jovic,82,22,46,88,6
Gabriel Jesus,82,23,48,88,6
Oswaldinato,82,28,20,82,0
Nuno Padrenda,82,24,6,84,2
Rosberto Dourado,82,20,13,82,0
Juiano Mestres,82,24,6,82,0
Raphaelito Anjos,82,32,3,82,0
Aaron Wan-Bissaka,82,22,94,89,7
Denis Zakaria,82,23,29,86,4
Nélson Semedo,82,26,51,85,3
Giovani Lo Celso,82,24,31,87,5
Nicolas Pépé,82,25,79,87,5
Steven Bergwijn,82,22,44,87,5
Presnel Kimpembe,82,24,46,86,4
Joe Gomez,82,23,66,89,7
Gonçalo Guedes,82,23,25,88,6
Rúben Neves,82,23,32,87,5
David Soria,82,27,5,84,2
Martin Ødegaard,82,21,68,88,6
Naby Keïta,82,25,20,86,4
Marco Asensio,82,24,47,86,4
Davinson Sánchez,82,24,23,85,3
James Maddison,82,23,64,87,5
Martin Dúbravka,82,31,3,82,0
Corentin Tolisso,82,25,38,85,3
Matteo Politano,82,26,23,83,1
Iñaki Williams,82,26,45,85,3
Mike Maignan,82,25,18,86,4
Ángel Correa,82,25,34,85,3
Thomas Lemar,82,24,31,86,4
Moussa Dembélé,82,24,23,86,4
João Cancelo,82,26,43,86,4
Adrien Rabiot,82,25,32,85,3
Pacheco,82,28,3,84,2
Andrea Belotti,82,26,28,85,3
Emre Can,82,26,24,85,3
Gerard Moreno,82,28,14,82,0
Josef Martínez,82,27,27,84,2
Matthias Ginter,82,26,25,83,1
William Carvalho,82,28,13,82,0
Sébastien Haller,82,26,16,84,2
Antonio Rüdiger,82,27,24,84,2
Karim Bellarabi,82,30,5,82,0
Julian Draxler,82,26,31,83,1
Felipe Anderson,82,27,14,82,0
Lucas Moura,82,27,25,82,0
Danilo Pereira,82,28,9,82,0
Nacho Fernández,82,30,13,82,0
Kevin Volland,82,27,8,83,1
Jasper Cillessen,82,31,15,82,0
Sergi Roberto,82,28,28,82,0
Cédric Bakambu,82,29,8,82,0
Mattia Perin,82,27,12,84,2
Willian José,82,28,5,82,0
Oliver Baumann,82,30,1,83,1
Mário Fernandes,82,29,16,82,0
Thomas Delaney,82,28,13,83,1
Jesús Corona,82,27,21,83,1
Alphonse Areola,82,27,18,86,4
Illarramendi,82,30,4,82,0
Taison,82,32,11,82,0
Aleksandar Kolarov,82,34,14,82,0
Fernando,82,33,9,82,0
Fernando Muslera,82,34,6,82,0
Willian,82,31,53,82,0
Diego Costa,82,31,20,82,0
Sergio Asenjo,82,31,2,83,1
Javi Martínez,82,31,18,82,0
Dimitri Payet,82,33,13,82,0
Marcano,82,33,2,82,0
Renato Augusto,82,32,9,82,0
Miranda,82,35,4,82,0
Stéphane Ruffier,82,33,1,82,0
Falcao,82,34,29,82,0
Franck Ribéry,82,37,31,82,0
Héctor Herrera,82,30,11,82,0
Jesús Navas,82,34,13,82,0
Vincent Kompany,82,34,12,82,0
Pepe,82,37,14,82,0
Iniesta,82,36,57,82,0
Segundo Mandíquez,81,31,3,81,0
Luis Roberto Dálves,81,28,3,81,0
Saúl Marcelo Ardero,81,32,0,81,0
Jaime Nicolás Frendado,81,36,0,81,0
Loren,81,26,3,84,3
Éder Militão,81,22,48,88,7
Maximiliano Gómez,81,23,13,87,6
Tomáš Soucek,81,25,12,86,5
David Neres,81,23,45,86,5
Manuel Lazzari,81,26,11,82,1
Houssem Aouar,81,22,71,89,8
Richarlison,81,23,48,88,7
Luimo Boas Santos,81,20,22,81,0
Tony Abranjes,81,32,1,81,0
Laure Santeiro,81,20,7,81,0
Ben Chilwell,81,23,46,85,4
Leon Bailey,81,22,44,88,7
Mario Hermoso,81,25,21,87,6
Ferland Mendy,81,25,48,86,5
Moussa Marega,81,29,13,81,0
Marcos Llorente,81,25,25,86,5
Borja Iglesias,81,27,9,82,1
Lucas Torreira,81,24,33,86,5
Wout Weghorst,81,27,4,82,1
Dani Ceballos,81,23,39,86,5
Lukas Klostermann,81,24,32,85,4
Victor Lindelöf,81,26,36,85,4
Morales,81,33,7,81,0
Youri Tielemans,81,23,35,87,6
Ignacio Fernández,81,30,4,81,0
Joaquín Correa,81,25,31,86,5
Gerónimo Rulli,81,28,8,85,4
João Mário,81,27,10,82,1
Federico Bernardeschi,81,26,46,83,2
Odisseas Vlachodimos,81,26,10,86,5
Kerem Demirbay,81,27,9,84,3
Gayà,81,25,18,86,5
Daniele Rugani,81,26,26,84,3
Marcel Halstenberg,81,28,17,81,0
Piotr Zielinski,81,26,17,85,4
Emil Forsberg,81,28,10,81,0
Esteban Andrada,81,29,7,82,1
Alessio Cragno,81,26,8,87,6
Juan Bernat,81,27,24,82,1
Jordan Pickford,81,26,18,84,3
Iñigo Martínez,81,29,10,82,1
Eran Zahavi,81,33,0,81,0
Kurt Zouma,81,25,56,84,3
John Stones,81,26,33,84,3
Alessandro Florenzi,81,29,11,81,0
Suso,81,26,11,81,0
Deulofeu,81,26,27,82,1
Thomas Meunier,81,28,29,81,0
Martin Hinteregger,81,27,3,83,2
Geoffrey Kondogbia,81,27,17,82,1
Rafinha,81,27,21,82,1
Agustín Marchesín,81,32,2,81,0
Benjamin Lecomte,81,29,8,83,2
Jordi Masip,81,31,6,81,0
Sebastián Coates,81,29,3,81,0
Kevin Kampl,81,29,16,81,0
Xherdan Shaqiri,81,28,18,81,0
Henrikh Mkhitaryan,81,31,22,81,0
Marcos Alonso,81,29,26,81,0
Ander Herrera,81,30,16,81,0
Eduardo Salvio,81,30,8,81,0
Stephan El Shaarawy,81,27,30,81,0
Adem Ljajic,81,28,4,81,0
Chris Smalling,81,30,31,81,0
Luuk de Jong,81,29,12,81,0
Giacomo Bonaventura,81,30,13,81,0
Nicolas Nkoulou,81,30,5,81,0
Marlos,81,32,4,81,0
Mario Balotelli,81,29,34,81,0
Kieran Trippier,81,29,17,81,0
Luiz Gustavo,81,33,4,81,0
Giuliano,81,30,3,81,0
Alexis Sánchez,81,31,46,81,0
Sebastian Giovinco,81,33,14,81,0
Jérôme Boateng,81,31,15,81,0
Yuri Berchiche,81,30,9,81,0
David Luiz,81,33,35,81,0
Simon Kjær,81,31,23,81,0
Adán,81,33,10,81,0
Sven Bender,81,31,10,81,0
Lars Bender,81,31,5,81,0
Sokratis,81,32,18,81,0
Laurent Koscielny,81,34,7,81,0
Lukasz Fabianski,81,35,7,81,0
Andrea Consigli,81,33,3,81,0
Fabio Quagliarella,81,37,5,81,0
André-Pierre Gignac,81,34,10,81,0
James Milner,81,34,21,81,0
Rune Almenning Jarstein,81,35,5,81,0
Mauro Evidio Nérez,80,32,4,80,0
Matías David Baldona,80,36,4,80,0
Jorge Ezequiel Serendero,80,32,1,80,0
Reguilón,80,23,44,87,7
Vinícius,80,25,20,85,5
Viktor Tsygankov,80,22,14,86,6
Dani Olmo,80,22,47,89,9
João Félix,80,20,133,93,13
Dominik Livakovic,80,25,8,86,6
Erling Braut Haaland,80,20,371,90,10
Tanguy Ndombele,80,23,46,88,8
Carlos Soler,80,23,15,86,6
Raphinha,80,23,8,85,5
Christopher Nkunku,80,22,32,86,6
Çaglar Söyüncü,80,24,42,85,5
Welington Dano,80,20,7,80,0
Adryan Zonta,80,28,5,80,0
Everton Andrão,80,24,16,80,0
Héniton Pires,80,24,1,82,2
Dayot Upamecano,80,21,127,89,9
Milot Rashica,80,24,30,86,6
Lorenzo Pellegrini,80,24,24,85,5
Marcus Thuram,80,22,19,84,4
Yeray,80,25,11,84,4
Christian Pulisic,80,21,139,86,6
Rodrigo Bentancur,80,23,62,87,7
Marko Dmitrovic,80,28,3,81,1
Benjamin Pavard,80,24,65,85,5
Abdou Diallo,80,24,13,84,4
Alexandr Golovin,80,24,34,86,6
Eric Bailly,80,26,31,83,3
Konrad Laimer,80,23,20,85,5
Merino,80,24,13,86,6
Diogo Jota,80,23,32,86,6
Karl Toko-Ekambi,80,27,8,81,1
Valentin Rongier,80,25,6,83,3
Mata,80,31,5,80,0
Harry Winks,80,24,22,85,5
Hirving Lozano,80,24,69,84,4
Jason Denayer,80,25,16,86,6
Matias Vecino,80,28,13,80,0
Tiemoué Bakayoko,80,25,19,82,2
Diego Carlos,80,27,97,83,3
Allan Saint-Maximin,80,23,57,86,6
Dani García,80,30,4,80,0
Armando Izzo,80,28,8,82,2
Walter Benítez,80,27,9,83,3
Darío Benedetto,80,30,14,80,0
Franco Armani,80,33,10,80,0
Thiago Mendes,80,28,11,80,0
Andreas Christensen,80,24,23,85,5
André Gomes,80,26,11,83,3
Morgan Sanson,80,25,13,84,4
Fred,80,27,34,82,2
Nathan Aké,80,25,95,84,4
Lucas Vázquez,80,29,16,80,0
Munas Dabbur,80,28,6,80,0
Adnan Januzaj,80,25,18,83,3
Gabriel,80,26,5,83,3
Abdoulaye Doucouré,80,27,15,83,3
Hakan Çalhanoglu,80,26,34,81,1
Yussuf Poulsen,80,26,19,82,2
Jack Grealish,80,24,106,85,5
Alassane Plea,80,27,11,81,1
Taras Stepanenko,80,30,2,80,0
Luke Shaw,80,25,34,82,2
Lucas Ocampos,80,26,28,83,3
Matija Nastasic,80,27,6,82,2
Benjamin Mendy,80,26,35,85,5
Willi Orban,80,27,11,82,2
Šime Vrsaljko,80,28,8,80,0
Nick Pope,80,28,61,81,1
Zé Luís,80,29,1,80,0
Álvaro,80,30,6,80,0
Willy Boly,80,29,5,80,0
James Tarkowski,80,27,5,81,1
Simone Zaza,80,29,8,80,0
Sergi Darder,80,26,4,83,3
Salif Sané,80,29,9,80,0
Matt Doherty,80,28,4,80,0
Aïssa Mandi,80,28,36,81,1
Ismaily,80,30,7,80,0
Hans Vanaken,80,27,4,80,0
Campaña,80,27,2,83,3
Granit Xhaka,80,27,24,81,1
Luis Muriel,80,29,10,80,0
Alex Oxlade-Chamberlain,80,26,24,83,3
Josuha Guilavogui,80,29,3,80,0
Enzo Pérez,80,34,2,80,0
Dejan Lovren,80,31,32,80,0
Aitor,80,29,3,82,2
Nicolás Otamendi,80,32,14,80,0
Mario Götze,80,28,25,80,0
Nemanja Matic,80,31,17,80,0
Benjamin André,80,29,4,80,0
Guaita,80,33,2,80,0
Pedro,80,33,17,80,0
Hulk,80,34,41,80,0
Bas Dost,80,31,4,80,0
Artem Dzyuba,80,31,13,80,0
Lars Stindl,80,31,3,80,0
Gylfi Sigur?sson,80,30,9,80,0
Marco Parolo,80,35,8,80,0
Sidnei,80,30,3,80,0
Vedran Corluka,80,34,3,80,0
Olivier Giroud,80,33,26,80,0
Juan Mata,80,32,11,80,0
Beñat,80,33,6,80,0
Mathieu Valbuena,80,35,5,80,0
Marcelo Díaz,80,33,1,80,0
Kévin Gameiro,80,33,5,80,0
Lukasz Piszczek,80,35,14,80,0
Diego Valeri,80,34,1,80,0
Andrés Guardado,80,33,9,80,0
Raúl García,80,34,6,80,0
Erik Lamela,80,28,20,80,0
Jonny Evans,80,32,12,80,0
Stefan Radu,80,33,14,80,0
Ben Foster,80,37,5,80,0
Jorge Molina,80,38,3,80,0
Igor Akinfeev,80,34,10,80,0
José Sosa,80,35,1,80,0
Lisandro López,80,37,13,80,0
Nani,80,33,11,80,0
Wayne Rooney,80,34,54,80,0
Joaquín,80,39,16,80,0
Renan Lodi,79,22,31,86,7
Enzo Manuel Aguerro,79,32,2,79,0
Leandro Miguel Sáreda,79,28,0,79,0
Enzo Martín Riquero,79,32,0,79,0
Daniel Martín Lenzado,79,32,1,79,0
Ferrán Torres,79,20,139,88,9
Junior Firpo,79,23,27,85,6
Nemanja Maksimovic,79,25,5,84,5
Lisandro Martínez,79,22,24,86,7
Cucurella,79,22,46,88,9
Vinícius Jr.,79,20,133,92,13
Dan-Axel Zagadou,79,21,57,86,7
Wendel,79,22,7,87,8
Ibrahima Konaté,79,21,74,88,9
Scott McTominay,79,23,44,86,7
Matías Zaracho,79,22,35,85,6
Jonathan Ikoné,79,22,34,86,7
Odriozola,79,24,38,84,5
Dean Henderson,79,23,46,87,8
Mason Mount,79,21,136,87,8
Amine Harit,79,23,20,85,6
Ruslan Malinovskyi,79,27,26,80,1
Alban Lafont,79,21,38,87,8
Tammy Abraham,79,22,83,86,7
Unai Simón,79,23,18,85,6
Matheus Bardeira,79,20,3,81,2
Arturo Inálcio,79,20,0,81,2
Gabri Prestão,79,28,1,79,0
Vincente Dourado,79,24,0,81,2
Melvin Parrela,79,20,1,79,0
Antônio Chiamuloira,79,20,4,79,0
Maikel Catarino,79,24,6,79,0
Pierre Lees-Melou,79,27,4,80,1
Stefano Sensi,79,24,13,84,5
Rubén Alcaraz,79,29,2,79,0
Manuel Akanji,79,25,33,85,6
Kasper Dolberg,79,22,23,85,6
Florian Grillitsch,79,24,2,83,4
Sander Berge,79,22,31,87,8
Oleksandr Zinchenko,79,23,45,85,6
Pablo Fornals,79,24,7,85,6
Thilo Kehrer,79,23,31,84,5
Nadiem Amiri,79,23,19,85,6
Joan Jordán,79,26,10,84,5
Cristian Pavón,79,24,23,85,6
Stefan Lainer,79,27,2,80,1
Krzysztof Piatek,79,25,30,84,5
Jony,79,29,11,79,0
Petros,79,31,2,79,0
Julian Weigl,79,24,13,82,3
Nico Elvedi,79,23,18,84,5
Dominic Calvert-Lewin,79,23,11,84,5
Wu Lei,79,28,16,79,0
Rafael Santos Borré,79,24,17,85,6
Yerry Mina,79,25,14,83,4
Munir,79,24,21,84,5
Ante Rebic,79,26,46,82,3
Baptiste Santamaria,79,25,3,83,4
Stanislav Lobotka,79,25,6,84,5
Capa,79,28,5,79,0
Lucas Alario,79,27,8,80,1
Juan Musso,79,26,15,82,3
Jean-Philippe Gbamin,79,24,8,84,5
Carlos Izquierdoz,79,31,3,79,0
Alexey Miranchuk,79,24,11,84,5
Abderrazak Hamdallah,79,29,8,79,0
Ruben Loftus-Cheek,79,24,16,85,6
Pierre-Emile Højbjerg,79,24,18,84,5
Ricardo Horta,79,25,5,82,3
Rony Lopes,79,24,14,84,5
Santi Mina,79,24,7,84,5
Leander Dendoncker,79,25,15,84,5
Rubén Peña,79,29,3,79,0
Domenico Berardi,79,25,13,82,3
Samu Castillejo,79,25,37,81,2
Jonny,79,26,10,82,3
Otávio,79,25,7,82,3
De Tomás,79,25,11,83,4
Fabian Schär,79,28,4,81,2
Omar Mascarell,79,27,3,81,2
Joël Veltman,79,28,13,80,1
Ryan Fraser,79,26,19,80,1
Leandro Paredes,79,26,29,83,4
Maximilian Arnold,79,26,9,82,3
Luka Milivojevic,79,29,5,79,0
Denis Cheryshev,79,29,9,79,0
Leo Baptistao,79,27,9,80,1
Ben Davies,79,27,15,80,1
James Ward-Prowse,79,25,6,83,4
Denis Suárez,79,26,12,80,1
Takashi Inui,79,32,3,79,0
Michy Batshuayi,79,26,30,82,3
Roque Mesa,79,31,1,79,0
Santiago Arias,79,28,24,79,0
M'Baye Niang,79,25,12,83,4
Héctor Bellerín,79,25,47,84,5
Pavel Kaderábek,79,28,4,79,0
Leonardo Spinazzola,79,27,10,79,0
Fernando,79,28,5,80,1
Jordan Veretout,79,27,7,81,2
Ciprian Tataru?anu,79,34,3,79,0
Cristian Tello,79,28,6,79,0
Lewis Dunk,79,28,7,81,2
Matz Sels,79,28,2,81,2
Sergi Gómez,79,28,6,81,2
Ibai Gómez,79,30,2,79,0
Danilo,79,29,16,79,0
Domagoj Vida,79,31,6,79,0
Ross Barkley,79,26,22,82,3
Sérgio Oliveira,79,28,2,80,1
Serge Aurier,79,27,56,80,1
Grzegorz Krychowiak,79,30,4,79,0
Laguardia,79,30,0,79,0
Andy Delort,79,28,2,79,0
Younès Belhanda,79,30,1,79,0
Germán Pezzella,79,29,8,81,2
Herrerín,79,32,5,79,0
Kevin Vogt,79,28,3,79,0
Ai Kesen,79,31,5,79,0
Fabián Orellana,79,34,7,79,0
Shkodran Mustafi,79,28,17,81,2
Manuel Lanzini,79,27,11,80,1
Alex Teixeira,79,30,6,79,0
Steven Nzonzi,79,31,8,79,0
Yann M'Vila,79,30,3,79,0
Cristhian Stuani,79,33,3,79,0
Sofiane Feghouli,79,30,5,79,0
Diego Perotti,79,32,9,79,0
Moussa Sissoko,79,30,21,79,0
Éder,79,33,2,79,0
Etienne Capoue,79,32,7,79,0
Dieumerci Mbokani,79,34,0,79,0
Nahuel Guzmán,79,34,2,79,0
David Ospina,79,31,7,79,0
Cristian Ansaldi,79,33,8,79,0
José Fonte,79,36,8,79,0
Martin Škrtel,79,35,6,79,0
Hatem Ben Arfa,79,33,12,79,0
Lucas Biglia,79,34,8,79,0
Benoît Costil,79,33,1,79,0
Hilton,79,42,6,79,0
Diego López,79,38,3,79,0
Javier Mascherano,79,36,18,79,0
Burak Yilmaz,79,35,15,79,0
Moyá,79,36,1,79,0
Quaresma,79,36,27,79,0
Federico Luis Contedo,78,36,1,78,0
Giovanni Luis Quintana,78,36,0,78,0
Edgar Manuel Guichón,78,32,0,78,0
Rodrygo,78,19,61,91,13
Júnior Moraes,78,33,5,78,0
Ferro,78,23,8,85,7
Moussa Diaby,78,21,24,87,9
Predrag Rajkovic,78,24,7,86,8
Jules Koundé,78,21,38,86,8
Pau Torres,78,23,44,86,8
Nikola Vlašic,78,22,16,86,8
Luis Díaz,78,23,20,86,8
Unai Núñez,78,23,4,84,6
Youcef Atal,78,24,39,84,6
Teun Koopmeiners,78,22,10,85,7
Calero,78,24,3,83,5
Enis Bardhi,78,25,7,83,5
Boubacar Kamara,78,20,62,87,9
Luiz Felipe,78,23,29,87,9
Marc Roca,78,23,20,85,7
Cengiz Ünder,78,23,23,84,6
Federico Chiesa,78,22,55,85,7
Diadie Samassékou,78,24,1,83,5
Youssef En-Nesyri,78,23,11,83,5
Ismaïla Sarr,78,22,41,88,10
Florian Neuhaus,78,23,13,86,8
Harvey Barnes,78,22,27,85,7
Édouard Mendy,78,28,1,81,3
Declan Rice,78,21,69,86,8
Patrik Schick,78,24,24,84,6
Alexander Isak,78,20,38,86,8
Denzel Dumfries,78,24,20,82,4
Mauro Arambarri,78,24,2,83,5
Gabriel,78,22,73,85,7
Victor Osimhen,78,21,205,88,10
Issa Diop,78,23,16,85,7
Exequiel Palacios,78,21,30,88,10
Miguel Almirón,78,26,9,79,1
Nahitan Nández,78,24,19,84,6
Franck Yannick Kessié,78,23,34,84,6
Renato Sanches,78,22,37,85,7
Prazeracinho,78,20,1,80,2
Sidney Pessinho,78,28,2,78,0
Guilson Paiva,78,24,1,80,2
Albertinho Dutra,78,28,1,78,0
Everticinho,78,20,10,78,0
Claudio Coíntra,78,24,2,78,0
Adnan Vidual,78,28,0,78,0
Ronaldo Esler,78,20,3,78,0
Suat Serdar,78,23,9,84,6
Andrey Lunev,78,28,6,79,1
Georgiy Dzhikiya,78,26,11,82,4
Sergi Guardiola,78,29,5,78,0
Palhinha,78,25,5,84,6
André Silva,78,24,22,83,5
Ezequiel Ávila,78,26,7,81,3
Simon Deli,78,28,8,80,2
Soares,78,29,10,78,0
Daniel Podence,78,24,15,82,4
Maximilian Eggestein,78,23,18,85,7
Nordi Mukiele,78,22,48,85,7
Benjamin Verbic,78,26,8,79,1
Denis Bouanga,78,25,6,81,3
Duje Caleta-Car,78,23,5,83,5
Ellyes Skhiri,78,25,2,82,4
Alex Meret,78,23,30,87,9
Jonathan Bamba,78,24,10,83,5
Robin Gosens,78,26,23,81,3
Omar Al Soma,78,31,3,78,0
Ruben Aguilar,78,27,3,79,1
Mario Pašalic,78,25,25,82,4
Franco Cervi,78,26,8,80,2
Unai López,78,24,2,82,4
Mariano,78,26,10,81,3
